認定番号,業者名,所在地
460551,ラッキー代⾏ ⾒附,⾒附市
460595,まこと運転代 ⾏,⾒附市
460145,とちおニコニ コ運転代⾏,⻑岡市
460247,(有)あおぞら運 転代⾏,⻑岡市
460347,(株)スパイラル （ハッピー運 転代⾏）,⻑岡市
460396,ＤＡＩＫＯＵ,⻑岡市
460437,⻘葉代⾏,⻑岡市
460469,運転代⾏Ａｃ ｅ,⻑岡市
460545,れもん運転代 ⾏,⻑岡市
460550,GLOBAL運転代 ⾏,⻑岡市
460575,⼤光株式会社 （⼤光運転代 ⾏）,⻑岡市
460618,こぶた代⾏,⻑岡市
460622,ふくふく代⾏ サービス,⻑岡市
460628,アシスト代⾏,⻑岡市
460630,すぎちゃん代 ⾏,⻑岡市
460430,ＯＮＥ代⾏,⼩千⾕市
460149,グリーン代⾏,⿂沼市
460041,塩沢ダイコー,南⿂沼市
460045,Ｓ＆Ｐダイコ ーサービス,南⿂沼郡湯沢町
460051,(有)新伸代⾏,南⿂沼市
460095,いずみダイコ ー,南⿂沼市
460032,(有)ミナミ運転 代⾏,⼗⽇町市
460090,中央代⾏,⼗⽇町市
460094,⿂沼ダイコー,中⿂沼郡津南町
460360,北⽃代⾏,⼗⽇町市
460587,⼗⽇町代⾏,⼗⽇町市
460022,(株)コスモＴ＆ Ｄ（コスモ代,柏崎市
460110,エース代⾏,柏崎市
460332,(株)あおぞら代 ⾏柏崎,柏崎市
460363,⼤和タクシー (株) （ヤマト代 ⾏）,柏崎市
460448,さくら運転代 ⾏,柏崎市
460593,ひかり社,柏崎市
460089,(有)第⼀代⾏,上越市
460333,ファミリー代 ⾏,上越市
460355,ビクトリ商事 合同会社（ビ クトリ運転代 ⾏社）,上越市
460388,ＨＡＹＡＢＵ ＳＡ代⾏,上越市
460492,(有)共⽴（共⽴ 代⾏）,上越市
460493,ＡＢＳ運転代 ⾏,上越市
460516,ほたる代⾏,上越市
460526,上越交通サー ビス,上越市
460529,スマイル運転代 ⾏,上越市
460536,あんしん代⾏ 社,上越市
460541,ＳＴＡＲ運転 代⾏,上越市
460568,新⽣代⾏,上越市
460574,のんだら代⾏ 社上越,上越市
460617,オレンジ運転 代⾏,上越市
460537,運転代⾏宮⼀,妙⾼市
460258,(有)ジェイ‧デ ィー‧エス （のんだら代 ⾏社）,⽷⿂川市
460425,ファミリー代 ⾏,⽷⿂川市
460098,佐渡運転代⾏ 社,佐渡市
460234,安全運転代⾏ 社,佐渡市
460241,たまちゃん代⾏,佐渡市
460351,⼭本運転代⾏,佐渡市
460370,岩崎運転代⾏,佐渡市
460470,妹背運転代⾏,佐渡市
460505,あすか運転代 ⾏,佐渡市
460571,サービス佐渡 ヶ島,佐渡市
